date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:38	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:31%20GMT	https://cvdelucasfernandes.sitew.org/projets	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/projets	(from https://cvdelucasfernandes.sitew.org/)
14:19:39	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:32%20GMT	https://cvdelucasfernandes.sitew.org/a-propos	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/a-propos	(from https://cvdelucasfernandes.sitew.org/)
14:19:39	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:32%20GMT	https://cvdelucasfernandes.sitew.org/'https://ra0.cdnsw.com/cc0/3938432_640.jpg'	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/'https_/ra0.cdnsw.com/cc0/3938432_640.jpg'	(from https://cvdelucasfernandes.sitew.org/)
14:19:39	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:32%20GMT	https://cvdelucasfernandes.sitew.org/'https://ra0.cdnsw.com/cc0/1873854_640.png'	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/'https_/ra0.cdnsw.com/cc0/1873854_640.png'	(from https://cvdelucasfernandes.sitew.org/)
14:19:39	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:32%20GMT	https://cvdelucasfernandes.sitew.org/loisirs	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/loisirs	(from https://cvdelucasfernandes.sitew.org/)
14:19:40	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:33%20GMT	https://cvdelucasfernandes.sitew.org/contact	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/contact	(from https://cvdelucasfernandes.sitew.org/)
14:19:40	410/410	---M--	200	added ('OK')	image/png	etag:%22651578f6-19a%22	https://st0.cdnsw.com/assets/thickbox/arrow_left_carrousel-e3adfb1f1e18fb3f3eac20f0527c0970.png	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/thickbox/arrow_left_carrousel-e3adfb1f1e18fb3f3eac20f0527c0970.png	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:40	416/416	---M--	200	added ('OK')	image/png	etag:%22651578f6-1a0%22	https://st0.cdnsw.com/assets/thickbox/arrow_right_carrousel-8fc5a7cb66197315020262a6679a908e.png	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/thickbox/arrow_right_carrousel-8fc5a7cb66197315020262a6679a908e.png	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:48	1768/1768	---M--	200	added ('OK')	image/png	etag:%226a0c8b45-6e8%22	https://ssl.sitew.org/images/blog/hat.png	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/ssl.sitew.org/images/blog/hat.png	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:55	2033/2033	---M--	200	added ('OK')	image/png	etag:%2269f99696-7f1%22	https://st0.cdnsw.com/assets/lg/vimeo-play.png	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/lg/vimeo-play.png	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:56	397167/397167	---M--	200	added ('OK')	image/jpeg	etag:%226a0c8a80-60f6f%22	http://ssl.sitew.org/images/blog/welcome/popup_referrer_bg.jpg	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/ssl.sitew.org/images/blog/welcome/popup_referrer_bg.jpg	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:56	1266/1266	---M--	200	added ('OK')	image/png	etag:%2269f99696-4f2%22	https://st0.cdnsw.com/assets/lg/video-play.png	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/lg/video-play.png	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:56	3781/3781	---M--	200	added ('OK')	image/png	etag:%2269f99696-ec5%22	https://st0.cdnsw.com/assets/lg/youtube-play.png	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/lg/youtube-play.png	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:56	4178/4178	---M--	200	added ('OK')	image/gif	etag:%225e457537-1052%22	https://st0.cdnsw.com/assets/lg/loading.gif	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/lg/loading.gif	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:57	1246/1246	---M--	200	added ('OK')	image/png	etag:%226515779d-4de%22	https://st0.cdnsw.com/assets/viewer/viewer-d6e48bdbfa1983ef0fac52ce5ba9dcc2.png	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/viewer/viewer-d6e48bdbfa1983ef0fac52ce5ba9dcc2.png	(from https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css)
14:19:58	172/172	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:51%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=fb&v=1735478957	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/index67f6.html	(from https://cvdelucasfernandes.sitew.org/A-propos)
14:19:58	172/172	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:51%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=fb&v=1766067059	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/index8f39.html	(from https://cvdelucasfernandes.sitew.org/Experience)
